"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1355792156825251842","https://twitter.com/haruchannna/status/1355792156825251842","@VtNpRvPfB7peEky みるくも毎日拭いてるんですけど全然治らないんですよね😂","2021-01-31 08:16 +0000","55.0","1.0","0.01818181818181818","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1355791758341275654","https://twitter.com/haruchannna/status/1355791758341275654","@koubu33 鶏肉が涙やけの原因になることもあるんですね。参考になりました！ありがとうございます😊","2021-01-31 08:15 +0000","32.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1355547053611335683","https://twitter.com/haruchannna/status/1355547053611335683","@chip97857909 乾燥で涙焼けですか。調べてみたら充血してました。結膜炎なのかも。

病院連れて行きます。ありがとうございます😊","2021-01-30 16:02 +0000","121.0","2.0","0.01652892561983471","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1355546831938154500","https://twitter.com/haruchannna/status/1355546831938154500","@washioemiko フード変えてみます。モグワンが涙やけに良いって聞いたので買ってみます。ありがとうございます😊","2021-01-30 16:02 +0000","172.0","5.0","0.029069767441860465","0.0","1.0","0.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1355546589654212612","https://twitter.com/haruchannna/status/1355546589654212612","@YFRPq0gxMehU1bp やっぱり病院行った方が良いですよね。ありがとうございます😊","2021-01-30 16:01 +0000","96.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1355505114581110786","https://twitter.com/haruchannna/status/1355505114581110786","最近涙焼けがひどくなってしまいました😭
ドッグフードのせいなのかな？ https://t.co/d5eTAGIWuU","2021-01-30 13:16 +0000","4393.0","661.0","0.15046665149100844","6.0","5.0","264.0","77.0","4.0","0.0","248.0","0.0","0","0","0","0","0","1115","57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1354813070728601602","https://twitter.com/haruchannna/status/1354813070728601602","寝落ちしました💤 https://t.co/B4bGzdePMY","2021-01-28 15:26 +0000","1389.0","199.0","0.14326853851691865","3.0","0.0","144.0","28.0","0.0","0.0","4.0","0.0","0","0","0","0","0","329","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1352822967495913473","https://twitter.com/haruchannna/status/1352822967495913473","討論番組を真面目に見るみるく📺 https://t.co/MTvg55CupR","2021-01-23 03:38 +0000","1450.0","223.0","0.15379310344827588","1.0","1.0","159.0","20.0","0.0","0.0","20.0","0.0","0","0","0","0","0","362","22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1352497688898494464","https://twitter.com/haruchannna/status/1352497688898494464","かまって〜😛 https://t.co/vaaurppsOw","2021-01-22 06:05 +0000","2036.0","316.0","0.15520628683693516","5.0","0.0","209.0","34.0","0.0","0.0","18.0","0.0","0","0","0","0","0","438","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1351343685401604096","https://twitter.com/haruchannna/status/1351343685401604096","まだまだ眠い🥱 https://t.co/OoMZyq8WeJ","2021-01-19 01:40 +0000","1721.0","246.0","0.14294015107495642","3.0","1.0","179.0","17.0","1.0","0.0","19.0","0.0","0","0","0","0","0","332","26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1350736670954459137","https://twitter.com/haruchannna/status/1350736670954459137","リュックでお散歩🐶 https://t.co/4OtAvo59YF","2021-01-17 09:28 +0000","1885.0","301.0","0.1596816976127321","6.0","1.0","216.0","17.0","0.0","0.0","17.0","0.0","0","0","0","0","0","486","44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1350704624508932096","https://twitter.com/haruchannna/status/1350704624508932096","初めて電車に乗りました😊
不安でここでもお得意のホリホリしてます🐩 https://t.co/8kd8lZ6aem","2021-01-17 07:20 +0000","1310.0","230.0","0.17557251908396945","0.0","0.0","141.0","22.0","0.0","0.0","7.0","0.0","0","0","0","0","0","383","60","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1349850861346844672","https://twitter.com/haruchannna/status/1349850861346844672","この手が可愛い🥺💞
お化けみたい笑👻 https://t.co/kcfhsuJhqR","2021-01-14 22:48 +0000","3778.0","533.0","0.14107993647432504","10.0","1.0","372.0","45.0","1.0","0.0","28.0","0.0","0","0","0","0","0","910","76","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1348442713293688833","https://twitter.com/haruchannna/status/1348442713293688833","おはようございます☀ https://t.co/kd2DQWIctW","2021-01-11 01:32 +0000","1652.0","291.0","0.1761501210653753","3.0","0.0","215.0","22.0","0.0","0.0","15.0","0.0","0","0","0","0","0","398","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1347700858172047360","https://twitter.com/haruchannna/status/1347700858172047360","高いところ苦手なみるくですが、意外と落ち着いてリュックで移動できました👏 https://t.co/CzHqlAhk3A","2021-01-09 00:24 +0000","2150.0","358.0","0.16651162790697674","2.0","2.0","234.0","31.0","1.0","0.0","41.0","0.0","0","0","0","0","0","580","47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1347394061838110722","https://twitter.com/haruchannna/status/1347394061838110722","初めての雪に大はしゃぎ💞❄☃ https://t.co/MrxFylKrIP","2021-01-08 04:05 +0000","2987.0","466.0","0.1560093739537998","4.0","6.0","334.0","38.0","0.0","0.0","33.0","0.0","0","0","0","0","0","766","51","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1346953307516928005","https://twitter.com/haruchannna/status/1346953307516928005","寒すぎて布団から出れません🥶 https://t.co/n45mukmgJr","2021-01-06 22:54 +0000","2295.0","325.0","0.14161220043572983","4.0","2.0","239.0","29.0","2.0","0.0","16.0","0.0","0","0","0","0","0","538","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1346483956439347201","https://twitter.com/haruchannna/status/1346483956439347201","今日もママの膝の上がお気に入り🐶 https://t.co/EbyEQatwQG","2021-01-05 15:49 +0000","2486.0","339.0","0.13636363636363635","4.0","0.0","224.0","37.0","2.0","0.0","33.0","0.0","0","0","0","0","0","520","39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1345611390422159360","https://twitter.com/haruchannna/status/1345611390422159360","今日のしっぽ観察
「散歩行こっか」 https://t.co/TJIQERd6dQ","2021-01-03 06:02 +0000","2475.0","382.0","0.15434343434343434","3.0","1.0","234.0","34.0","1.0","0.0","52.0","0.0","0","0","0","0","0","604","57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1345234904976564225","https://twitter.com/haruchannna/status/1345234904976564225","正月早々、白目で寝ているみるく🐶 https://t.co/r18ZlwdGLM","2021-01-02 05:06 +0000","1737.0","301.0","0.1732872769142199","2.0","0.0","175.0","30.0","0.0","0.0","26.0","0.0","0","0","0","0","0","408","68","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1344810676145901568","https://twitter.com/haruchannna/status/1344810676145901568","新年明けましておめでとうございます㊗️🎊
今年もよろしくお願いいたします🤲 https://t.co/6GLt0dvjbc","2021-01-01 01:00 +0000","1962.0","361.0","0.18399592252803262","5.0","5.0","251.0","28.0","2.0","0.0","46.0","0.0","0","0","0","0","0","481","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
